StartTime,RTT
735.794,0.015
735.83,0.015
735.865,0.017
735.902,0.017
735.939,0.014
735.974,0.014
736.009,0.014
736.043,0.017
736.081,0.018
736.119,0.849
736.988,0.015
737.024,0.018
737.063,0.323
737.406,0.017
737.443,0.018
737.482,0.409
737.911,0.016
737.947,0.016
737.984,0.018
738.022,0.014
738.057,0.017
738.094,0.015
738.129,0.017
738.166,0.015
738.202,0.015
738.238,0.018
738.276,0.016
738.313,0.015
738.349,0.015
738.385,0.035
738.44,0.015
738.475,0.014
738.51,0.016
738.546,0.014
738.58,0.014
738.615,0.017
738.652,0.015
738.688,0.018
738.727,0.015
738.762,0.016
738.798,0.018
738.837,0.018
738.875,0.015
738.911,0.016
738.947,0.015
738.983,0.016
739.019,0.015
739.054,0.017
739.091,0.014
739.125,0.016
739.162,0.018
739.2,0.018
739.239,0.018
739.278,0.016
739.314,0.015
739.35,0.014
739.385,0.014
739.42,0.018
739.459,-1
740.479,0.014
740.514,0.015
740.55,0.015
740.585,0.016
740.622,0.015
740.657,0.017
740.694,0.016
740.731,0.014
740.766,0.016
740.802,0.016
740.839,0.014
740.874,0.017
740.912,0.018
740.95,-1
741.97,0.018
742.009,0.015
742.044,0.014
742.079,0.018
742.117,0.018
742.155,0.015
742.191,0.018
742.229,0.015
742.265,0.015
742.3,0.015
742.335,0.016
742.372,0.017
742.409,0.015
742.445,0.022
742.487,0.015
742.523,0.016
742.559,0.018
742.598,0.016
742.635,0.018
742.673,0.014
742.708,0.014
742.743,0.015
742.778,0.015
742.814,0.016
742.851,-1
743.871,0.017
743.909,0.017
743.947,0.017
743.984,0.014
744.019,0.018
744.057,0.017
744.095,0.016
744.132,0.014
744.167,0.016
744.204,0.016
744.24,0.959
745.22,0.016
745.257,0.014
745.291,0.016
745.328,0.017
745.365,0.023
745.409,0.018
745.447,0.017
745.484,0.014
745.519,0.016
745.556,0.014
745.59,0.015
745.626,0.015
745.661,0.018
745.699,0.017
745.737,0.018
745.776,0.018
745.814,0.016
745.851,0.015
745.886,0.014
745.921,0.015
745.956,0.015
745.992,0.015
746.027,0.017
746.065,0.015
746.1,0.018
746.139,0.018
746.178,0.017
746.216,0.014
746.251,0.016
746.287,0.014
746.321,0.018
746.359,0.015
746.395,0.016
746.431,0.017
746.469,0.016
746.506,0.015
746.541,0.018
746.58,0.016
746.616,0.016
746.653,0.018
746.692,0.015
746.727,0.014
746.761,0.65
747.431,0.018
747.469,0.017
747.507,0.221
747.749,0.027
747.796,0.075
747.891,0.014
747.925,0.017
747.963,0.015
747.998,0.016
748.035,0.016
748.072,0.015
748.107,0.016
748.144,0.014
748.178,0.018
748.217,0.016
748.253,0.11
748.384,0.016
748.42,0.144
748.584,0.016
748.621,0.018
748.659,0.014
748.694,0.016
748.731,0.018
748.77,0.016
748.806,0.018
748.845,0.014
748.879,0.017
748.918,0.014
748.952,0.014
748.987,0.017
749.024,0.014
749.058,0.016
749.094,0.018
749.133,0.014
